 N Сортировка    Параметры набора данных         Random        (avg) UP (min)  (avg) Down (min)
10 Heap2       	  100     0     50     5     0,010   0,006     0,010   0,006     0,007   0,005
10 Heap2      	  200     0    100     5     0,016   0,015     0,022   0,016     0,018   0,013
10 Heap2      	  500     0    250     5     0,048   0,047     0,054   0,043     0,046   0,040
10 Heap2      	 1000     0    500     5     0,106   0,104     0,104   0,097     0,089   0,088
10 Heap2     	 2000     0   1000     5     0,233   0,231     0,208   0,202     0,190   0,187
10 Heap2      	 5000     0   2500     5     0,647   0,641     0,566   0,548     0,520   0,511
10 Heap2    	10000     0   5000     5     1,396   1,359     1,150   1,132     1,156   1,090

N Сортировка    Параметры набора данных         Random        (avg) UP (min)  (avg) Down (min)
10 Heap1       	  100     0     50     5     0,008   0,006     0,008   0,007     0,007   0,006
10 Heap1      	  200     0    100     5     0,017   0,016     0,018   0,017     0,015   0,014
10 Heap1      	  500     0    250     5     0,050   0,049     0,054   0,050     0,043   0,040
10 Heap1      	 1000     0    500     5     0,110   0,109     0,116   0,115     0,090   0,088
10 Heap1     	 2000     0   1000     5     0,246   0,244     0,247   0,243     0,194   0,191
10 Heap1    	 5000     0   2500     5     0,668   0,665     0,668   0,665     0,518   0,511
10 Heap1     	10000     0   5000     5     1,468   1,434     1,447   1,419     1,126   1,065
