 N Сортировка   Параметры набора данных         Random        (avg) UP (min)  (avg) Down (min)
10 Heap1      	  100     0     50     5     0,010   0,007     0,011   0,008     0,007   0,006
10 Heap1       	  200     0    100     5     0,017   0,015     0,021   0,018     0,017   0,014
10 Heap1       	  500     0    250     5     0,051   0,049     0,060   0,051     0,043   0,041
10 Heap1      	 1000     0    500     5     0,112   0,110     0,113   0,111     0,089   0,088
10 Heap1      	 2000     0   1000     5     0,246   0,242     0,247   0,244     0,194   0,191
10 Heap1      	 5000     0   2500     5     0,667   0,664     0,670   0,667     0,518   0,510
10 Heap1     	10000     0   5000     5     1,467   1,399     1,459   1,419     1,099   1,062

 N Сортировка    Параметры набора данных         Random        (avg) UP (min)  (avg) Down (min)
10 Heap2       	  100     0     50     5     0,008   0,006     0,007   0,007     0,008   0,006
10 Heap2       	  200     0    100     5     0,016   0,015     0,019   0,016     0,015   0,013
10 Heap2       	  500     0    250     5     0,052   0,045     0,054   0,044     0,046   0,039
10 Heap2      	 1000     0    500     5     0,110   0,102     0,098   0,095     0,098   0,086
10 Heap2      	 2000     0   1000     5     0,233   0,228     0,204   0,202     0,190   0,187
10 Heap2      	 5000     0   2500     5     0,643   0,637     0,560   0,547     0,513   0,511
10 Heap2     	10000     0   5000     5     1,394   1,354     1,180   1,129     1,107   1,059
